fare_id,agency_id,service_type,stage_number,fare_amount,currency,effective_date,government_order,source_id,raw_file_id
FARE_MTC_EXPRESS_SERVICES_S20,MTC,Express Services,20,28.0,INR,2018-01-29,G.O (Ms.) No.48 Dated 28.01.2018,MTC_OFFICIAL,MTC_OFFICIAL_FARES_20260918
FARE_MTC_EXPRESS_SERVICES_S21,MTC,Express Services,21,30.0,INR,2018-01-29,G.O (Ms.) No.48 Dated 28.01.2018,MTC_OFFICIAL,MTC_OFFICIAL_FARES_20260918
FARE_MTC_EXPRESS_SERVICES_S22,MTC,Express Services,22,30.0,INR,2018-01-29,G.O (Ms.) No.48 Dated 28.01.2018,MTC_OFFICIAL,MTC_OFFICIAL_FARES_20260918
FARE_MTC_EXPRESS_SERVICES_S23,MTC,Express Services,23,31.0,INR,2018-01-29,G.O (Ms.) No.48 Dated 28.01.2018,MTC_OFFICIAL,MTC_OFFICIAL_FARES_20260918
FARE_MTC_EXPRESS_SERVICES_S24,MTC,Express Services,24,31.0,INR,2018-01-29,G.O (Ms.) No.48 Dated 28.01.2018,MTC_OFFICIAL,MTC_OFFICIAL_FARES_20260918
FARE_MTC_EXPRESS_SERVICES_S25,MTC,Express Services,25,33.0,INR,2018-01-29,G.O (Ms.) No.48 Dated 28.01.2018,MTC_OFFICIAL,MTC_OFFICIAL_FARES_20260918
FARE_MTC_EXPRESS_SERVICES_S26,MTC,Express Services,26,33.0,INR,2018-01-29,G.O (Ms.) No.48 Dated 28.01.2018,MTC_OFFICIAL,MTC_OFFICIAL_FARES_20260918
FARE_MTC_EXPRESS_SERVICES_S27,MTC,Express Services,27,34.0,INR,2018-01-29,G.O (Ms.) No.48 Dated 28.01.2018,MTC_OFFICIAL,MTC_OFFICIAL_FARES_20260918
FARE_MTC_EXPRESS_SERVICES_S28,MTC,Express Services,28,34.0,INR,2018-01-29,G.O (Ms.) No.48 Dated 28.01.2018,MTC_OFFICIAL,MTC_OFFICIAL_FARES_20260918
FARE_MTC_EXPRESS_SERVICES_S29,MTC,Express Services,29,35.0,INR,2018-01-29,G.O (Ms.) No.48 Dated 28.01.2018,MTC_OFFICIAL,MTC_OFFICIAL_FARES_20260918
FARE_MTC_EXPRESS_SERVICES_S30,MTC,Express Services,30,35.0,INR,2018-01-29,G.O (Ms.) No.48 Dated 28.01.2018,MTC_OFFICIAL,MTC_OFFICIAL_FARES_20260918
FARE_MTC_DELUXE_SERVICES_S01,MTC,Deluxe Services,1,11.0,INR,2018-01-29,G.O (Ms.) No.48 Dated 28.01.2018,MTC_OFFICIAL,MTC_OFFICIAL_FARES_20260918
FARE_MTC_DELUXE_SERVICES_S02,MTC,Deluxe Services,2,13.0,INR,2018-01-29,G.O (Ms.) No.48 Dated 28.01.2018,MTC_OFFICIAL,MTC_OFFICIAL_FARES_20260918
FARE_MTC_DELUXE_SERVICES_S03,MTC,Deluxe Services,3,15.0,INR,2018-01-29,G.O (Ms.) No.48 Dated 28.01.2018,MTC_OFFICIAL,MTC_OFFICIAL_FARES_20260918
FARE_MTC_DELUXE_SERVICES_S04,MTC,Deluxe Services,4,17.0,INR,2018-01-29,G.O (Ms.) No.48 Dated 28.01.2018,MTC_OFFICIAL,MTC_OFFICIAL_FARES_20260918
FARE_MTC_DELUXE_SERVICES_S05,MTC,Deluxe Services,5,19.0,INR,2018-01-29,G.O (Ms.) No.48 Dated 28.01.2018,MTC_OFFICIAL,MTC_OFFICIAL_FARES_20260918
FARE_MTC_DELUXE_SERVICES_S06,MTC,Deluxe Services,6,21.0,INR,2018-01-29,G.O (Ms.) No.48 Dated 28.01.2018,MTC_OFFICIAL,MTC_OFFICIAL_FARES_20260918
FARE_MTC_DELUXE_SERVICES_S07,MTC,Deluxe Services,7,23.0,INR,2018-01-29,G.O (Ms.) No.48 Dated 28.01.2018,MTC_OFFICIAL,MTC_OFFICIAL_FARES_20260918
FARE_MTC_DELUXE_SERVICES_S08,MTC,Deluxe Services,8,25.0,INR,2018-01-29,G.O (Ms.) No.48 Dated 28.01.2018,MTC_OFFICIAL,MTC_OFFICIAL_FARES_20260918
FARE_MTC_DELUXE_SERVICES_S09,MTC,Deluxe Services,9,27.0,INR,2018-01-29,G.O (Ms.) No.48 Dated 28.01.2018,MTC_OFFICIAL,MTC_OFFICIAL_FARES_20260918
FARE_MTC_DELUXE_SERVICES_S10,MTC,Deluxe Services,10,29.0,INR,2018-01-29,G.O (Ms.) No.48 Dated 28.01.2018,MTC_OFFICIAL,MTC_OFFICIAL_FARES_20260918
FARE_MTC_DELUXE_SERVICES_S11,MTC,Deluxe Services,11,31.0,INR,2018-01-29,G.O (Ms.) No.48 Dated 28.01.2018,MTC_OFFICIAL,MTC_OFFICIAL_FARES_20260918
FARE_MTC_DELUXE_SERVICES_S12,MTC,Deluxe Services,12,31.0,INR,2018-01-29,G.O (Ms.) No.48 Dated 28.01.2018,MTC_OFFICIAL,MTC_OFFICIAL_FARES_20260918
FARE_MTC_DELUXE_SERVICES_S13,MTC,Deluxe Services,13,33.0,INR,2018-01-29,G.O (Ms.) No.48 Dated 28.01.2018,MTC_OFFICIAL,MTC_OFFICIAL_FARES_20260918
