taxonomy,dimension,group,n,sol_primary_exact,model_primary_exact,sol_primary_in_ref_set,model_primary_in_ref_set,sol_ref_primary_in_source_set,model_ref_primary_in_source_set,sol_acceptable_set_exact,model_acceptable_set_exact,sol_clarification_match,model_clarification_match,sol_null_primary,model_null_primary,sol_model_primary_agreement,sol_model_set_agreement,sol_model_clarification_agreement
T3,noise_type,commuter_sms_chat_shorthand,10,1.0,0.9,1.0,0.9,1.0,1.0,1.0,0.8,1.0,0.8,0.0,0.1,0.9,0.8,0.8
T3,noise_type,keyboard_adjacent_typo,14,0.8571428571428571,0.7857142857142857,1.0,0.7857142857142857,0.8571428571428571,1.0,0.7857142857142857,0.7857142857142857,0.7857142857142857,0.9285714285714286,0.0,0.21428571428571427,0.7857142857142857,0.7857142857142857,0.7142857142857143
T3,noise_type,phonetic_transliteration_misspelling,15,0.8666666666666667,0.9333333333333333,0.8666666666666667,0.9333333333333333,1.0,1.0,0.8666666666666667,0.8,1.0,0.8666666666666667,0.13333333333333333,0.06666666666666667,0.9333333333333333,0.8,0.8666666666666667
T3,noise_type,vowel_omission_and_truncation,14,0.9285714285714286,0.8571428571428571,0.9285714285714286,0.8571428571428571,1.0,1.0,0.7857142857142857,0.6428571428571429,0.8571428571428571,0.6428571428571429,0.07142857142857142,0.14285714285714285,0.9285714285714286,0.7142857142857143,0.7857142857142857
T3,ambiguity_type,dual_goal_conjunction,2,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.5,1.0,1.0,1.0,1.0,1.0,0.0,1.0
T3,ambiguity_type,missing_destination_slot,1,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
T3,ambiguity_type,missing_origin_slot,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0
T3,ambiguity_type,none,109,0.981651376146789,0.9541284403669725,0.981651376146789,0.9541284403669725,1.0,1.0,0.9724770642201835,0.8807339449541285,0.9357798165137615,0.8623853211009175,0.009174311926605505,0.045871559633027525,0.9541284403669725,0.8715596330275229,0.926605504587156
T3,ambiguity_type,route_isolated_number,3,0.0,0.6666666666666666,0.0,0.6666666666666666,1.0,1.0,0.0,0.0,1.0,0.3333333333333333,1.0,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333
T3,ambiguity_type,station_context_underspecified,2,0.5,0.5,0.5,0.5,1.0,1.0,0.0,0.0,0.5,0.5,0.5,0.5,1.0,0.5,1.0
T3,ambiguity_type,underspecified_od_intent,2,0.5,0.5,0.5,0.5,1.0,1.0,0.0,0.0,0.5,0.5,0.5,0.5,1.0,1.0,1.0
T3,ambiguity_type,underspecified_origin_transit,1,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
T3,ambiguity_type,underspecified_temporal_departure,7,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.8571428571428571,0.0,0.0,1.0,1.0,0.14285714285714285
T3,answerability_status,ANSWERABLE_AFTER_MANUAL_VERIFICATION,5,0.8,0.8,0.8,0.8,1.0,1.0,0.8,0.6,1.0,1.0,0.2,0.2,1.0,0.6,1.0
T3,answerability_status,ANSWERABLE_NOW,57,0.9473684210526315,0.9122807017543859,0.9473684210526315,0.9122807017543859,1.0,1.0,0.8070175438596491,0.7543859649122807,0.8070175438596491,0.8771929824561403,0.05263157894736842,0.08771929824561403,0.9649122807017544,0.8771929824561403,0.8596491228070176
T3,answerability_status,ANSWERABLE_WITH_PROVISIONAL_DATA,54,0.8703703703703703,0.8888888888888888,0.9074074074074074,0.8888888888888888,0.9629629629629629,1.0,0.8148148148148148,0.7407407407407407,0.8703703703703703,0.7962962962962963,0.07407407407407407,0.1111111111111111,0.8703703703703703,0.7592592592592593,0.8518518518518519
T3,answerability_status,OUT_OF_SCOPE,4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0
T3,answerability_status,REQUIRES_REALTIME_DATA,8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.75,0.0,0.0,1.0,1.0,0.75
