hub_id,hub_name,priority_tier,member_entity_id,member_name,member_mode,paired_entity_id,paired_name,paired_mode,walking_distance_m,confidence,requires_review,verified,notes
HUB_PURATCHI_THALAIVAR_DR__M_G_RAMACHANDRAN_CENTRAL,Puratchi Thalaivar Dr. M.G.Ramachandran Central,TIER_1_CORE,CMRL_API_7090,Puratchi Thalaivar Dr. M.G.Ramachandran Central Metro,metro,OSM_RAIL_2481258995,Chennai Park Town,suburban_rail,418.0,0.5,True,False,Cross-mode candidate in TIER_1_CORE: metro <-> suburban_rail at 418.0m.
HUB_PURATCHI_THALAIVI_DR_J_JAYALALITHAA_CMBT,Puratchi Thalaivi Dr.J.Jayalalithaa CMBT,TIER_1_CORE,CMRL_API_6912,Puratchi Thalaivi Dr.J.Jayalalithaa CMBT Metro,metro,OSM_BUS_4546369389,Paulo bus stand,bus,310.7,0.5,True,False,Cross-mode candidate in TIER_1_CORE: metro <-> bus at 310.7m.
HUB_PURATCHI_THALAIVI_DR_J_JAYALALITHAA_CMBT,Puratchi Thalaivi Dr.J.Jayalalithaa CMBT,TIER_1_CORE,CMRL_API_6912,Puratchi Thalaivi Dr.J.Jayalalithaa CMBT Metro,metro,OSM_BUS_306104406,Puratchi Thalaivar Dr. M.G.R Bus Terminus,bus,356.7,0.5,True,False,Cross-mode candidate in TIER_1_CORE: metro <-> bus at 356.7m.
HUB_PURATCHI_THALAIVI_DR_J_JAYALALITHAA_CMBT,Puratchi Thalaivi Dr.J.Jayalalithaa CMBT,TIER_1_CORE,CMRL_API_6912,Puratchi Thalaivi Dr.J.Jayalalithaa CMBT Metro,metro,OSM_BUS_5318548733,SRM Travels,bus,289.3,0.5,True,False,Cross-mode candidate in TIER_1_CORE: metro <-> bus at 289.3m.
HUB_PURATCHI_THALAIVI_DR_J_JAYALALITHAA_CMBT,Puratchi Thalaivi Dr.J.Jayalalithaa CMBT,TIER_1_CORE,CMRL_API_6912,Puratchi Thalaivi Dr.J.Jayalalithaa CMBT Metro,metro,OSM_BUS_10980207100,Koyambedu Mofussil Bus Terminal,bus,427.6,0.5,True,False,Cross-mode candidate in TIER_1_CORE: metro <-> bus at 427.6m.
HUB_PURATCHI_THALAIVI_DR_J_JAYALALITHAA_CMBT,Puratchi Thalaivi Dr.J.Jayalalithaa CMBT,TIER_1_CORE,CMRL_API_6912,Puratchi Thalaivi Dr.J.Jayalalithaa CMBT Metro,metro,OSM_BUS_11598619872,Bus to Mamallapuram,bus,335.7,0.5,True,False,Cross-mode candidate in TIER_1_CORE: metro <-> bus at 335.7m.
HUB_PURATCHI_THALAIVI_DR_J_JAYALALITHAA_CMBT,Puratchi Thalaivi Dr.J.Jayalalithaa CMBT,TIER_1_CORE,CMRL_API_6912,Puratchi Thalaivi Dr.J.Jayalalithaa CMBT Metro,metro,GTFS_STOP_5822,M.G.R.Koyambedu Bus Terminus,bus,363.3,0.5,True,False,Cross-mode candidate in TIER_1_CORE: metro <-> bus at 363.3m.
HUB_TAMBARAM,Tambaram,TIER_1_CORE,OSM_RAIL_5286945822,Tambaram,suburban_rail,OSM_BUS_340088810,Tambaram MTC Terminus,bus,136.9,0.9,True,False,Cross-mode candidate in TIER_1_CORE: suburban_rail <-> bus at 136.9m.
HUB_TAMBARAM,Tambaram,TIER_1_CORE,OSM_RAIL_5286945822,Tambaram,suburban_rail,OSM_BUS_340088821,Tambaram East MTC Terminus,bus,260.0,0.9,True,False,Cross-mode candidate in TIER_1_CORE: suburban_rail <-> bus at 260.0m.
HUB_TAMBARAM,Tambaram,TIER_1_CORE,OSM_RAIL_5286945822,Tambaram,suburban_rail,OSM_BUS_442132009,Tambaram Bus Stand,bus,232.1,0.9,True,False,Cross-mode candidate in TIER_1_CORE: suburban_rail <-> bus at 232.1m.
