normalized_id,source_id,source_record_id,raw_file_id,original_name,normalized_name,name_ta,name_hi,mode,stop_type,original_latitude,original_longitude,normalized_latitude,normalized_longitude,coordinate_plausible,inside_cma,parent_station,agency,operational_status
GTFS_STOP_8326,CHENNAI_COMMUNITY_GTFS,8326,CHENNAI_UNIFIED_GTFS_20260918,Kovilambakkam,Kovilambakkam,,,bus,bus_stop,12.93952,80.18259,12.93952,80.18259,True,True,,MTC,operational
GTFS_STOP_8327,CHENNAI_COMMUNITY_GTFS,8327,CHENNAI_UNIFIED_GTFS_20260918,Hasthinapuram Mosque,Hasthinapuram Mosque,,,bus,bus_stop,12.93954,80.15383,12.93954,80.15383,True,True,,MTC,operational
GTFS_STOP_8328,CHENNAI_COMMUNITY_GTFS,8328,CHENNAI_UNIFIED_GTFS_20260918,Kovilambakkam,Kovilambakkam,,,bus,bus_stop,12.93964,80.18248,12.93964,80.18248,True,True,,MTC,operational
GTFS_STOP_8329,CHENNAI_COMMUNITY_GTFS,8329,CHENNAI_UNIFIED_GTFS_20260918,Narayanapuram,Narayanapuram,,,bus,bus_stop,12.93968,80.20558,12.93968,80.20558,True,True,,MTC,operational
GTFS_STOP_8335,CHENNAI_COMMUNITY_GTFS,8335,CHENNAI_UNIFIED_GTFS_20260918,Hasthinapuram,Hasthinapuram,,,bus,bus_stop,12.94051,80.15057,12.94051,80.15057,True,True,,MTC,operational
GTFS_STOP_8330,CHENNAI_COMMUNITY_GTFS,8330,CHENNAI_UNIFIED_GTFS_20260918,Narayanapuram,Narayanapuram,,,bus,bus_stop,12.94006,80.20553,12.94006,80.20553,True,True,,MTC,operational
GTFS_STOP_8332,CHENNAI_COMMUNITY_GTFS,8332,CHENNAI_UNIFIED_GTFS_20260918,Anjugam Nagar,Anjugam Nagar,,,bus,bus_stop,12.9402,80.08515,12.9402,80.08515,True,True,,MTC,operational
GTFS_STOP_8333,CHENNAI_COMMUNITY_GTFS,8333,CHENNAI_UNIFIED_GTFS_20260918,Anjugam Nagar,Anjugam Nagar,,,bus,bus_stop,12.94026,80.08514,12.94026,80.08514,True,True,,MTC,operational
GTFS_STOP_8334,CHENNAI_COMMUNITY_GTFS,8334,CHENNAI_UNIFIED_GTFS_20260918,Hasthinapuram,Hasthinapuram,,,bus,bus_stop,12.94028,80.15043,12.94028,80.15043,True,True,,MTC,operational
GTFS_STOP_10932,CHENNAI_COMMUNITY_GTFS,10932,CHENNAI_UNIFIED_GTFS_20260918,Aluminaman Kovil Bus Stsop,Aluminaman Kovil Bus Stsop,,,bus,bus_stop,13.03974,80.24455,13.03974,80.24455,True,True,,MTC,operational
