interchange_id,from_entity,from_name,to_entity,to_name,transfer_type,walking_distance_m,walking_time_min,confirmed,notes
INT_OSM_RAIL_139_OSM_BUS_3709,OSM_RAIL_13972514096,Iyappanthangal Metro,OSM_BUS_370969659,Ayyapanthangal,walking_interchange,43.6,0.6,False,Multimodal candidate between metro and bus.
INT_OSM_RAIL_139_GTFS_STOP_59,OSM_RAIL_13972514096,Iyappanthangal Metro,GTFS_STOP_5925,Iyyappanthangal Bus Terminus,walking_interchange,76.4,1.0,False,Multimodal candidate between metro and bus.
INT_OSM_RAIL_140_OSM_BUS_1402,OSM_RAIL_14023022804,Madhavaram Depot,OSM_BUS_14023022804,Madhavaram Depot,integrated_interchange,0.0,0.0,False,Multimodal candidate between metro and bus.
INT_OSM_RAIL_141_OSM_BUS_1084,OSM_RAIL_14178350594,Madhavaram Bus Terminal Metro,OSM_BUS_10848041900,Madhavaram Mofussil Bus Terminus,walking_interchange,115.1,1.5,False,Multimodal candidate between metro and bus.
INT_GTFS_STOP_10_GTFS_STOP_97,GTFS_STOP_10901,Anna Nagar East Depot,GTFS_STOP_9741,Anna Nagar East Metro Station,walking_interchange,436.0,5.8,False,Multimodal candidate between bus and metro.
INT_CMRL_API_693_OSM_RAIL_248,CMRL_API_6932,Puratchi Thalaivar Dr. M.G.Ramachandran Central Metro,OSM_RAIL_2481258999,Chennai Park,walking_interchange,54.7,0.7,False,Multimodal candidate between metro and suburban_rail.
INT_CMRL_API_693_OSM_RAIL_527,CMRL_API_6930,Egmore Metro,OSM_RAIL_5275790188,Chennai Egmore,walking_interchange,146.4,2.0,False,Multimodal candidate between metro and suburban_rail.
INT_CMRL_API_672_GTFS_STOP_53,CMRL_API_6727,New Washermenpet Metro,GTFS_STOP_5352,Tondairpet-2 Depot,walking_interchange,77.9,1.0,False,Multimodal candidate between metro and bus.
INT_CMRL_API_709_OSM_RAIL_248,CMRL_API_7090,Puratchi Thalaivar Dr. M.G.Ramachandran Central Metro,OSM_RAIL_2481258999,Chennai Park,walking_interchange,54.7,0.7,False,Multimodal candidate between metro and suburban_rail.
INT_CMRL_API_667_OSM_RAIL_488,CMRL_API_6675,Chennai International Airport,OSM_RAIL_4885083053,Tirusulam,walking_interchange,176.3,2.4,False,Multimodal candidate between metro and suburban_rail.
