normalized_route_id,source_id,source_route_id,agency,route_short_name,route_long_name,mode,route_type,status
GTFS_ROUTE_20226,CHENNAI_COMMUNITY_GTFS,20226,MTC,16K R,Kundrathur TO M.G.R.Koyambedu Kundrathur B.T TO M.G.R.Koyambedu,bus,3,operational
GTFS_ROUTE_20227,CHENNAI_COMMUNITY_GTFS,20227,MTC,16K CT1,Kundrathur B.T TO Vadapalani,bus,3,operational
GTFS_ROUTE_20228,CHENNAI_COMMUNITY_GTFS,20228,MTC,16K R1,M.G.R.Koyambedu TO Kundrathur B.T,bus,3,operational
GTFS_ROUTE_20229,CHENNAI_COMMUNITY_GTFS,20229,MTC,16K CT2,Vadapalani TO M.G.R.Koyambedu,bus,3,operational
GTFS_ROUTE_20230,CHENNAI_COMMUNITY_GTFS,20230,MTC,16J R,M.G.R.Koyambedu TO Poonamallee B.T,bus,3,operational
GTFS_ROUTE_20231,CHENNAI_COMMUNITY_GTFS,20231,MTC,16J R1,Poonamallee B.T TO M.G.R.Koyambedu,bus,3,operational
GTFS_ROUTE_20233,CHENNAI_COMMUNITY_GTFS,20233,MTC,104G,M.K.B.Nagar TO Kilambakkam B.T,bus,3,operational
GTFS_ROUTE_20235,CHENNAI_COMMUNITY_GTFS,20235,MTC,70V CT5,Tambaram West TO M.G.R.Koyambedu,bus,3,operational
GTFS_ROUTE_17667,CHENNAI_COMMUNITY_GTFS,17667,MTC,21EEt,Bai Kadai Moulivakkam TO Thiruvanmiyur Depot,bus,3,operational
GTFS_ROUTE_16842,CHENNAI_COMMUNITY_GTFS,16842,MTC,S66,Pallavaram TO Kundrathur B.T,bus,3,operational
GTFS_ROUTE_16845,CHENNAI_COMMUNITY_GTFS,16845,MTC,S66,Kundrathur B.T TO Pallavaram,bus,3,operational
GTFS_ROUTE_17135,CHENNAI_COMMUNITY_GTFS,17135,MTC,62,Redhills TO Ambattur I.E,bus,3,operational
GTFS_ROUTE_17140,CHENNAI_COMMUNITY_GTFS,17140,MTC,62,Poonamallee B.T TO Ambattur I.E,bus,3,operational
GTFS_ROUTE_20236,CHENNAI_COMMUNITY_GTFS,20236,MTC,70C,Tambaram West Bus Stand TO Koyambedu Market,bus,3,operational
GTFS_ROUTE_20240,CHENNAI_COMMUNITY_GTFS,20240,MTC,11H,Iyyapanthangal to Bradway,bus,3,operational
GTFS_ROUTE_14451,CHENNAI_COMMUNITY_GTFS,14451,MTC,48C,Ayanavaram B.T TO Vallalar Nagar,bus,3,operational
GTFS_ROUTE_14453,CHENNAI_COMMUNITY_GTFS,14453,MTC,48C,Ayanavaram TO M.G.R.Koyambedu,bus,3,operational
GTFS_ROUTE_11466,CHENNAI_COMMUNITY_GTFS,11466,MTC,48C,Vallalar Nagar TO M.G.R.Koyambedu,bus,3,operational
GTFS_ROUTE_20891,CHENNAI_COMMUNITY_GTFS,20891,MTC,1D,Ennore TO Thiruvanmiyur,bus,3,operational
GTFS_ROUTE_17163,CHENNAI_COMMUNITY_GTFS,17163,MTC,S59,Thiruverkadu TO Mangadu,bus,3,operational
GTFS_ROUTE_22470,CHENNAI_COMMUNITY_GTFS,22470,MTC,42D CT,Otteri TO Srinivasa Nagar,bus,3,operational
GTFS_ROUTE_22471,CHENNAI_COMMUNITY_GTFS,22471,MTC,38G CT,Koyambedu Market TO Vazhuthigaimedu,bus,3,operational
GTFS_ROUTE_17170,CHENNAI_COMMUNITY_GTFS,17170,MTC,S59,Mangadu TO Thiruverkadu,bus,3,operational
GTFS_ROUTE_17185,CHENNAI_COMMUNITY_GTFS,17185,MTC,S59,Poonamallee B.T TO Mangadu,bus,3,operational
GTFS_ROUTE_17189,CHENNAI_COMMUNITY_GTFS,17189,MTC,S59,Mangadu TO Poonamallee B.T,bus,3,operational
GTFS_ROUTE_20245,CHENNAI_COMMUNITY_GTFS,20245,MTC,154 CT9,Iyyapanthangal to  Poonamallee,bus,3,operational
GTFS_ROUTE_16243,CHENNAI_COMMUNITY_GTFS,16243,MTC,T23C,Thiruvanmiyur TO Adyar,bus,3,operational
GTFS_ROUTE_16244,CHENNAI_COMMUNITY_GTFS,16244,MTC,T23C,Adyar TO Thiruvanmiyur,bus,3,operational
GTFS_ROUTE_16495,CHENNAI_COMMUNITY_GTFS,16495,MTC,S70K,Thirumangalam Metro R.S TO Korattur Water Canal,bus,3,operational
GTFS_ROUTE_20252,CHENNAI_COMMUNITY_GTFS,20252,MTC,153A CT1,Annanagar East TO M.G.R.Koyambedu,bus,3,operational
GTFS_ROUTE_20253,CHENNAI_COMMUNITY_GTFS,20253,MTC,153A CT2,K.K.Nagar TO M.G.R.Koyambedu,bus,3,operational
GTFS_ROUTE_20254,CHENNAI_COMMUNITY_GTFS,20254,MTC,153A CT3,M.G.R.Koyambedu TO Annanagar East,bus,3,operational
GTFS_ROUTE_20255,CHENNAI_COMMUNITY_GTFS,20255,MTC,153A CT4,M.G.R.Koyambedu TO K.K.Nagar,bus,3,operational
GTFS_ROUTE_17143,CHENNAI_COMMUNITY_GTFS,17143,MTC,62,Moolakadai TO Redhills,bus,3,operational
GTFS_ROUTE_16496,CHENNAI_COMMUNITY_GTFS,16496,MTC,S70K,Korattur Water Canal TO Thirumangalam Metro R.S,bus,3,operational
GTFS_ROUTE_20257,CHENNAI_COMMUNITY_GTFS,20257,MTC,153A CT6,Poonamallee B.T TO Thiruvallur,bus,3,operational
GTFS_ROUTE_20265,CHENNAI_COMMUNITY_GTFS,20265,MTC,597 CT10,Poonamallee B.T TO Thiruvallur,bus,3,operational
