entity_id,canonical_name,candidate_alias,candidate_type,language,source_if_any,requires_human_confirmation
OSM_BUS_1899720980,Narayana puram,நாராயண புரம்,official_tamil,ta,OSM_OVERPASS,False
OSM_BUS_1899720981,Narayana puram,நாராயண புரம்,official_tamil,ta,OSM_OVERPASS,False
OSM_BUS_305478863,Sadasiva Nagar,சதாசிவ நகர்,official_tamil,ta,OSM_OVERPASS,False
OSM_BUS_442506948,Ram Nagar,ராம் நகர்,official_tamil,ta,OSM_OVERPASS,False
OSM_BUS_4435694788,Pallavaram,பல்லாவரம்,official_tamil,ta,OSM_OVERPASS,False
OSM_BUS_278745849,மூவரசம்பட்டு கூட்ரோடு,மூவரசம்பட்டு கூட்ரோடு,official_tamil,ta,OSM_OVERPASS,False
OSM_BUS_310591980,மூவரசம்பேட்டை,மூவரசம்பேட்டை,official_tamil,ta,OSM_OVERPASS,False
OSM_BUS_9417619443,மூவரசம்பட்டு கூட்ரோடு,மூவரசம்பட்டு கூட்ரோடு,official_tamil,ta,OSM_OVERPASS,False
OSM_BUS_4885083053,Tirusulam,திருசூலம்,official_tamil,ta,OSM_OVERPASS,False
OSM_BUS_6285857241,Chennai International Airport,சென்னை விமான நிலையம்,official_tamil,ta,OSM_OVERPASS,False
OSM_BUS_4885094689,Meenambakkam,மீனம்பாக்கம்,official_tamil,ta,OSM_OVERPASS,False
OSM_BUS_6285857239,Meenambakkam,மீனம்பாக்கம்,official_tamil,ta,OSM_OVERPASS,False
OSM_BUS_1920364154,Roja Medicals,ரோஜா மருந்தகம்,official_tamil,ta,OSM_OVERPASS,False
OSM_BUS_3187977875,Palavanthangal,பழவந்தாங்கல்,official_tamil,ta,OSM_OVERPASS,False
OSM_BUS_365957307,Nandambakkam,நந்தம்பாக்கம்,official_tamil,ta,OSM_OVERPASS,False
OSM_BUS_3264882332,Nandambakkam,நந்தம்பாக்கம்,official_tamil,ta,OSM_OVERPASS,False
OSM_BUS_279150540,பரங்கிமலை ரயில் நிலையம்,பரங்கிமலை ரயில் நிலையம்,official_tamil,ta,OSM_OVERPASS,False
OSM_BUS_4221752111,Saint Thomas Mount,பரங்கிமலை,official_tamil,ta,OSM_OVERPASS,False
OSM_BUS_5319202812,Saint Thomas Mount,பரங்கிமலை,official_tamil,ta,OSM_OVERPASS,False
OSM_BUS_6285857237,Nanganallur Road,நங்கநல்லூர் சாலை,official_tamil,ta,OSM_OVERPASS,False
OSM_BUS_5308690568,Alandur,ஆலந்தூர்,official_tamil,ta,OSM_OVERPASS,False
OSM_BUS_391823865,Kathipara,கத்திப்பாரா,official_tamil,ta,OSM_OVERPASS,False
OSM_BUS_3264719874,Kathipara,கத்திப்பாரா,official_tamil,ta,OSM_OVERPASS,False
OSM_BUS_3264719879,Butt Road,பட் சாலை,official_tamil,ta,OSM_OVERPASS,False
OSM_BUS_3264883462,Butt Road,பட் சாலை,official_tamil,ta,OSM_OVERPASS,False
OSM_BUS_256039818,Guindy,கிண்டி,official_tamil,ta,OSM_OVERPASS,False
OSM_BUS_5631301427,Guindy,கிண்டி,official_tamil,ta,OSM_OVERPASS,False
OSM_BUS_1007625852,Guindy,கிண்டி,official_tamil,ta,OSM_OVERPASS,False
OSM_BUS_2241055785,Guindy,கிண்டி,official_tamil,ta,OSM_OVERPASS,False
OSM_BUS_3264712327,Guindy,கிண்டி,official_tamil,ta,OSM_OVERPASS,False
OSM_BUS_3264712469,Guindy,கிண்டி,official_tamil,ta,OSM_OVERPASS,False
OSM_BUS_5631301429,கிண்டி,கிண்டி,official_tamil,ta,OSM_OVERPASS,False
OSM_BUS_6285857248,கிண்டி,கிண்டி,official_tamil,ta,OSM_OVERPASS,False
OSM_BUS_5319207378,Ekkattuthangal,ஈக்காட்டுத்தாங்கல்,official_tamil,ta,OSM_OVERPASS,False
OSM_BUS_3247422104,Injambakkam,ஈஞ்சம்பாக்கம்,official_tamil,ta,OSM_OVERPASS,False
OSM_BUS_1764308008,Velachery Railway Station,வேளச்சேரி ரயில் நிலையம்,official_tamil,ta,OSM_OVERPASS,False
OSM_BUS_5311755242,Velachery,வேளச்சேரி,official_tamil,ta,OSM_OVERPASS,False
OSM_BUS_5311755241,Perungudi,பெருங்குடி,official_tamil,ta,OSM_OVERPASS,False
OSM_BUS_5311755240,Taramani,தரமணி,official_tamil,ta,OSM_OVERPASS,False
OSM_BUS_9554116143,Rajalakshmi Nagar,ராஜலக்ஷ்மி நகர்,official_tamil,ta,OSM_OVERPASS,False
OSM_BUS_14065915984,Prince Jewellery,பிரின்ஸ் ஜுவல்லரி,official_tamil,ta,OSM_OVERPASS,False
OSM_BUS_1457114953,SRP Tools,எஸ்ஆர்பி டூல்ஸ்,official_tamil,ta,OSM_OVERPASS,False
OSM_BUS_1457114934,Kottivakkam,கொட்டிவாக்கம்,official_tamil,ta,OSM_OVERPASS,False
OSM_BUS_1457114942,Kottivakkam,கொட்டிவாக்கம்,official_tamil,ta,OSM_OVERPASS,False
OSM_BUS_1457114954,SRP Tools,எஸ்ஆர்பி டூல்ஸ்,official_tamil,ta,OSM_OVERPASS,False
OSM_BUS_1183430763,Tidel park,டைடல் பார்க்,official_tamil,ta,OSM_OVERPASS,False
OSM_BUS_1183430887,Tidel Park,டைடல் பார்க்,official_tamil,ta,OSM_OVERPASS,False
OSM_BUS_5311755239,Tiruvanmiyur,திருவான்மியூர்,official_tamil,ta,OSM_OVERPASS,False
OSM_BUS_317827746,Jayanti,ஜெயந்தி,official_tamil,ta,OSM_OVERPASS,False
OSM_BUS_317827781,Jayanti,ஜெயந்தி,official_tamil,ta,OSM_OVERPASS,False
OSM_BUS_3247299914,Thiruvanmiyur,திருவான்மியூர்,official_tamil,ta,OSM_OVERPASS,False
OSM_BUS_5486341834,Jayanti,ஜெயந்தி,official_tamil,ta,OSM_OVERPASS,False
OSM_BUS_5631301116,Jayanti,ஜெயந்தி,official_tamil,ta,OSM_OVERPASS,False
OSM_BUS_5631301117,Jayanti,ஜெயந்தி,official_tamil,ta,OSM_OVERPASS,False
OSM_BUS_365983874,Saidapet Court,சைதாப்பேட்டை நீதிமன்றம்,official_tamil,ta,OSM_OVERPASS,False
OSM_BUS_3264883515,சின்ன மலை Little Mount Metro,சின்ன மலை,official_tamil,ta,OSM_OVERPASS,False
OSM_BUS_6285857246,சின்னமலை,சின்னமலை,official_tamil,ta,OSM_OVERPASS,False
OSM_BUS_3263017226,Anna University,அண்ணா பல்கலைக்கழகம்,official_tamil,ta,OSM_OVERPASS,False
OSM_BUS_3263003853,Gandhi Mandapam,காந்தி மண்டபம்,official_tamil,ta,OSM_OVERPASS,False
OSM_BUS_5311755238,Indira Nagar,இந்திரா நகர்,official_tamil,ta,OSM_OVERPASS,False
OSM_BUS_3262998735,Madhya Kailash,மத்திய கைலாஷ்,official_tamil,ta,OSM_OVERPASS,False
OSM_BUS_312031432,Gandhinagar,காந்தி நகர்,official_tamil,ta,OSM_OVERPASS,False
OSM_BUS_3262996627,Gandhinagar,காந்திநகர்,official_tamil,ta,OSM_OVERPASS,False
